trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
321,False,"{'a': 0.7254232509901412, 'e': 0.040356613272031154}",20,16,8.097010069820136,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.7246981903299029, 'e': 0.0399550582606539}",20,3,-23.77133986847832,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
323,False,"{'a': 0.7239738543679153, 'e': 0.03955749878839873}",25,20,10.570403091071846,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.7232502423798425, 'e': 0.03916389509898707}",25,8,27.272818056080403,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.7225273536420722, 'e': 0.038774207831722016}",20,6,21.955800619332976,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.7218051874317158, 'e': 0.03838839801755206}",20,4,32.53605275734762,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.721083743026607, 'e': 0.03800642707517432}",20,6,21.57874802948377,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.7203630197053014, 'e': 0.03762825680717621}",30,20,17.013334632533923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.7196430167470754, 'e': 0.037253849396215816}",30,17,26.033452258282445,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.7189237334319262, 'e': 0.03688316740124}",25,17,5.871530187094892,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
331,False,"{'a': 0.7182051690405703, 'e': 0.03651617375374041}",20,10,9.99668707918303,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.7174873228544433, 'e': 0.03615283175404641}",30,17,25.449420336468236,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.716770194155699, 'e': 0.035793105067655304}",30,15,26.626555405610436,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.7160537822272085, 'e': 0.03543695772159865}",30,24,10.130793180347819,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.7153380863525599, 'e': 0.03508435410084503}",20,14,13.182866557141525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.7146231058160574, 'e': 0.03473525894473857}",25,6,26.81154579175966,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.7139088399027201, 'e': 0.034389637343472716}",20,16,7.774989691592188,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.7131952878982822, 'e': 0.03404745473459935}",20,11,18.264431828198227,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.7124824490891918, 'e': 0.0337086768995724}",20,12,14.327739367163211,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.7117703227626097, 'e': 0.03337326996032609}",20,8,11.027285557254812,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
341,False,"{'a': 0.7110589082064097, 'e': 0.03304120037588694}",20,6,19.14572930684639,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.7103482047091773, 'e': 0.03271243493901982}",20,13,12.511283191572273,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.7096382115602087, 'e': 0.03238694077290704}",20,12,3.966097911609911,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.7089289280495108, 'e': 0.032064685327860776}",20,5,24.10291204436595,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.7082203534678, 'e': 0.031745636378067946}",25,13,17.439862606791387,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.7075124871065017, 'e': 0.03142976201836772}",20,11,13.495569739848209,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.7068053282577494, 'e': 0.031117030661060866}",20,16,8.731965934961869,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.7060988762143844, 'e': 0.030807411032751083}",20,13,14.95210871052403,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.7053931302699544, 'e': 0.030500872171217486}",25,15,21.885452955211605,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.7046880897187134, 'e': 0.030197383422318508}",25,16,17.581541072247738,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.703983753855621, 'e': 0.029896914436926315}",30,14,34.65129959064564,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.7032801219763409, 'e': 0.029599435167892006}",20,11,19.927492452333322,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.7025771933772416, 'e': 0.029304915867040753}",20,14,10.811849024194135,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.7018749673553941, 'e': 0.02901332708219706}",20,15,11.40895790004138,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.7011734432085724, 'e': 0.028724639654239426}",20,10,18.339479862978127,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.7004726202352524, 'e': 0.02843882471418451}",20,13,15.978531258266088,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.699772497734611, 'e': 0.0281558536803001}",20,11,6.14985795313494,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
358,False,"{'a': 0.6990730750065257, 'e': 0.027875698255247022}",20,10,18.595459398222232,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.6983743513515737, 'e': 0.027598330423249294}",25,13,22.124938184211494,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.6976763260710311, 'e': 0.027323722447292562}",25,5,28.82234486915341,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.6969789984668727, 'e': 0.02705184686635042}",25,17,15.092308550759059,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.696282367841771, 'e': 0.02678267649263818}",30,14,27.5506532340501,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.6955864334990951, 'e': 0.026516184408894188}",20,12,14.850463975071321,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.6948911947429106, 'e': 0.026252343965687965}",25,17,5.332262971435645,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
365,False,"{'a': 0.6941966508779789, 'e': 0.02599112877875535}",25,17,3.0731541397510123,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.6935028012097558, 'e': 0.025732512726359947}",25,14,17.6838086342755,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.6928096450443917, 'e': 0.025476469946681023}",20,11,17.25134489312334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.6921171816887305, 'e': 0.025222974835227216}",20,13,12.06768456645543,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.6914254104503086, 'e': 0.024972002042276162}",20,15,10.152931481032871,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.6907343306373547, 'e': 0.02472352647033939}",25,18,15.642654450182178,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.690043941558789, 'e': 0.024477523271652674}",20,0,32.0837870426036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
372,False,"{'a': 0.6893542425242224, 'e': 0.024233967845691116}",30,22,14.253595979187594,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
